Artist,Album,Song,Date Saved,Album Art
"Dímelo Flow","Haciéndolo","Haciéndolo","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d566947b030f3facdd13d87d" 
"Eladio Carrion","SEN2 KBRN VOL. 2","Mbappe","2023/01/30","https://i.scdn.co/image/ab67616d0000b273dce7a3fb14f5e841c0befbbf" 
"Punto40","Mini Mini","Mini Mini","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a400b087bdf628b1b3ec4324" 
"Bala","Desde el Cielo","Desde el Cielo","2023/01/30","https://i.scdn.co/image/ab67616d0000b27354fa18416368d4f2aded8c8e" 
"Miley Cyrus","Flowers","Flowers","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d" 
"El Alfa","LOS APARATOS","LOS APARATOS","2023/01/30","https://i.scdn.co/image/ab67616d0000b273c24e934e7b1dd2abdd63f788" 
"Nicki Minaj","Tukoh Taka (Official FIFA Fan Festival™Anthem)","Tukoh Taka - Official FIFA Fan Festival™ Anthem","2023/01/30","https://i.scdn.co/image/ab67616d0000b273da375de40d4f83c371d5280f" 
"Rauw Alejandro","VICE VERSA","Desesperados","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d9525f27b0a9e25b1fa21230" 
"Calvin Harris","One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108" 
"BLACKPINK","How You Like That","How You Like That","2023/01/30","https://i.scdn.co/image/ab67616d0000b273310b505203a3fc8a952ed010" 
"Camilo","De Adentro Pa Afuera","Índigo","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d3fdbbbfeeffc9a02c6308d1" 
"Bad Bunny","Un Verano Sin Ti","Ojitos Lindos","2023/01/30","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72" 
"Sofia Carson","Purple Hearts (Original Soundtrack)","Sweet Caroline","2023/01/30","https://i.scdn.co/image/ab67616d0000b2739e73ff641e43efa7dd9b4582" 
"Andrea Bocelli","A Family Christmas","Feliz Navidad","2023/01/30","https://i.scdn.co/image/ab67616d0000b273e64ddd50e08b7a2e1eeb32b5" 
"Camilo","Mis Manos","Manos de Tijera","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d7210e8d6986196b28d084ef" 
"Camilo","Por Primera Vez","Por Primera Vez","2023/01/30","https://i.scdn.co/image/ab67616d0000b273653ffc209fd026e94a80d3f3" 
"Camilo","De Adentro Pa Afuera","Bebiendo Sola","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d3fdbbbfeeffc9a02c6308d1" 
"Bad Bunny","Un Verano Sin Ti","Después de la Playa","2023/01/30","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","El Ratón de los Dientes","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","El Club del Conejo Mala Pata","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","Un Millón de Gracias","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","La Pepo Cumbia","La Pepo Cumbia","2023/01/30","https://i.scdn.co/image/ab67616d0000b2734753bdc7de47ec7d20bfd81c" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","Somos Grandes Amigos","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","A la Escuela","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","El Baile de Pepo","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"El Show De Bely Y Beto","Bailando Con Bely y Beto","Es una Bruja","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f3724fe6382d8a91e0a91324" 
"Tatiana","Salta Sin Parar","No Me Quiero Bañar","2023/01/30","https://i.scdn.co/image/ab67616d0000b273bbd59384109536880ef3f3a1" 
"Camilo","Mis Manos","KESI","2023/01/30","https://i.scdn.co/image/ab67616d0000b273d7210e8d6986196b28d084ef" 
"Tata Vega","El Rey Leon (Edición Especial)","Ciclo Sin Fin","2023/01/30","https://i.scdn.co/image/ab67616d0000b27356e869daafe3171fb565bcfa" 
"Romina Marroquín Payró","Frozen: Una Aventura Congelada (Banda Sonora Original)","Finalmente y Como Nunca","2023/01/30","https://i.scdn.co/image/ab67616d0000b273bcaa5a6afb86168fd6d659fd" 
"Cynthia Erivo","Pinocchio (Original Soundtrack)","When You Wish Upon A Star","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f1a46afa37199f1a16378bf9" 
"Harry Styles","Fine Line","Watermelon Sugar","2023/03/02","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a" 
"Harry Styles","Harry Styles","Sign of the Times","2023/03/02","https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859" 
"Ricardo Arjona","Independiente + Demos","Fuiste Tú (feat. Gaby Moreno)","2023/03/14","https://i.scdn.co/image/ab67616d0000b2732e1ba6a3dac7573ac82bfe2e" 
"León Larregui","Voluma","Locos","2023/03/30","https://i.scdn.co/image/ab67616d0000b2732a05b124cd97397315615e22" 
"Los Ángeles Azules","Esto Sí Es Cumbia","Nunca Es Suficiente","2023/08/11","https://i.scdn.co/image/ab67616d0000b27333eaecc2d9a01d6c5862860f" 
"Los Ángeles Azules","Cómo Te Voy a Olvidar ¡Edición de Súper Lujo!","Mis Sentimientos","2023/08/11","https://i.scdn.co/image/ab67616d0000b27340eb369568a148cf6479fb3b" 
"Los Ángeles Azules","Cómo Te Voy a Olvidar ¡Edición de Súper Lujo!","Entrega de Amor - En Vivo [Concierto Sinfónico Cumbia Fuzión by Fuze Tea]","2023/08/11","https://i.scdn.co/image/ab67616d0000b27340eb369568a148cf6479fb3b" 
"Los Ángeles Azules","Amor a Primera Vista","Amor a Primera Vista","2023/08/11","https://i.scdn.co/image/ab67616d0000b273e85d996af92e8295e676f6db" 
"Los Ángeles Azules","Cómo Te Voy a Olvidar ¡Edición de Súper Lujo!","Las Maravillas de la Vida","2023/08/11","https://i.scdn.co/image/ab67616d0000b27340eb369568a148cf6479fb3b" 
"Rihanna","ANTI (Deluxe)","Love On The Brain","2023/08/11","https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093" 
"Lady Gaga","One World: Together At Home","Smile - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Camila Cabello","One World: Together At Home","What A Wonderful World - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"John Legend","One World: Together At Home","Stand By Me - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
